specifictime,hour,SYN,SYN-ACK,ACK,SENDPCK,DELAYFR,DELAYFDNS,RETRAND,RETANSU,type,day_of_month,month,year
2021-06-10 18:14:59,18,46.0,910.5,3.5,47.67,48.0,52.0,0.2745,0.075,1,10,6,2021
2021-06-10 18:14:59,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4286,1,10,6,2021
2021-06-10 18:19:59,18,5.0,6.0,2.67,4.67,0.0,4.0,0.0,0.0,1,10,6,2021
2021-06-10 18:19:59,18,46.0,1971.0,7.33,46.0,7.0,46.0,0.1,0.0,1,10,6,2021
2021-06-10 18:24:59,18,25.0,3.0,9.0,25.0,3.0,48.0,0.0,0.0,1,10,6,2021
2021-06-10 18:24:59,18,29.2,4.0,7.0,29.4,23.0,27.0,0.0309,0.0,1,10,6,2021
2021-06-10 18:24:59,18,25.0,6.0,9.0,36.0,108.0,41.0,0.3158,0.2093,1,10,6,2021
2021-06-10 18:29:59,18,25.0,3.5,4.0,25.0,3.0,25.0,0.0,0.0,1,10,6,2021
2021-06-10 18:29:59,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4118,1,10,6,2021
2021-06-10 18:29:59,18,43.0,3.5,1.0,42.5,0.0,42.0,0.0,0.0,1,10,6,2021
2021-06-10 18:29:59,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,6,2021
2021-06-10 18:34:59,18,25.0,2.0,9.0,37.5,4.0,52.0,0.0714,0.1429,1,10,6,2021
2021-06-10 18:39:59,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1,10,6,2021
2021-06-10 18:44:59,18,50.0,0.0,0.0,49.0,0.0,0.0,0.3056,0.3333,1,10,6,2021
2021-06-10 18:49:59,18,25.0,28320.0,46.0,25.0,31.0,25.0,0.0,0.0,1,10,6,2021
2021-06-10 18:54:59,18,48.5,4591.5,7.5,48.5,5.0,48.0,0.0,0.0,1,10,6,2021
2021-06-10 18:54:59,18,24.0,7.0,7.0,24.0,201.0,24.0,0.0,0.2143,1,10,6,2021
2021-06-10 18:54:59,18,48.0,1049.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,6,2021
2021-06-10 18:59:59,18,10.0,4.0,2.0,17.0,4.0,17.0,0.1429,0.0,1,10,6,2021
2021-06-10 18:59:59,18,27.67,227.67,3.33,28.0,173.0,44.0,0.2,0.027,1,10,6,2021
2021-06-10 19:04:59,19,4.0,4.0,5.0,5.0,4.0,5.0,0.0,0.0,1,10,6,2021
2021-06-10 19:04:59,19,27.5,205.0,5.0,27.5,14.0,27.0,0.0,0.0,1,10,6,2021
2021-06-10 19:04:59,19,26.0,3.0,5.0,26.0,3.0,25.0,0.0,0.0,1,10,6,2021
2021-06-10 19:09:59,19,0.0,0.0,0.0,154818.0,0.0,0.0,0.45,0.0,1,10,6,2021
2021-06-10 19:14:59,19,26.0,810.5,25.0,25.5,3.0,25.0,0.1579,0.2069,1,10,6,2021
2021-06-10 19:14:59,19,0.0,0.0,0.0,51.0,1448.0,0.0,0.2857,0.0769,1,10,6,2021
2021-06-10 19:19:59,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,1,10,6,2021
